,Student_ID,Age,Gender,Academic_Level,Avg_Daily_Usage_Hours,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Conflicts_Over_Social_Media,Addicted_Score,Platform_Group_Messenger,Platform_Group_Others,Platform_Group_Social_Media
0,1,19,1,1,5.2,1,6.5,6,3,8,False,False,True
1,2,22,0,2,2.1,0,7.5,8,0,3,False,False,True
2,3,20,1,1,6.0,1,5.0,5,4,9,False,False,True
3,4,18,0,0,3.0,0,7.0,7,1,4,False,True,False
4,5,21,0,2,4.5,1,6.0,6,2,7,False,False,True
5,6,19,1,1,7.2,1,4.5,4,5,9,False,False,True
6,7,23,0,2,1.5,0,8.0,9,0,2,False,True,False
7,8,20,1,1,5.8,1,6.0,6,2,8,True,False,False
8,9,18,0,0,4.0,0,6.5,7,1,5,False,False,True
9,10,21,1,2,3.3,0,7.0,7,1,4,False,False,True
10,11,19,0,1,4.8,1,6.2,5,3,7,True,False,False
11,12,20,1,1,5.5,1,5.8,6,2,8,False,False,True
12,13,22,0,2,2.8,0,7.2,8,1,4,False,True,False
13,14,18,1,0,6.5,1,5.5,5,4,9,False,False,True
14,15,21,0,1,3.7,0,6.8,7,2,5,False,True,False
15,16,20,1,1,4.2,1,6.0,6,3,7,False,False,True
16,17,24,0,2,2.0,0,7.8,8,0,3,False,True,False
17,18,19,1,0,5.0,1,5.7,5,3,8,False,False,True
18,19,21,0,1,3.5,0,6.7,7,1,5,False,False,True
19,20,20,1,1,4.7,1,5.9,6,3,7,True,False,False
20,21,18,0,0,5.3,1,5.5,5,4,8,False,False,True
21,22,23,1,2,2.5,0,7.3,8,1,4,False,True,False
22,23,19,0,1,4.9,1,5.8,6,3,7,False,False,True
23,24,20,1,1,5.7,1,5.4,5,4,8,False,False,True
24,25,22,0,2,3.2,0,6.9,7,2,5,False,False,True
25,26,19,1,0,6.1,1,5.2,5,4,9,False,False,True
26,27,21,0,1,3.8,0,6.6,7,1,5,False,True,False
27,28,20,1,1,4.4,1,5.9,6,3,7,False,False,True
28,29,24,0,2,2.2,0,7.4,8,0,3,False,True,False
29,30,19,1,0,5.9,1,5.3,5,4,8,False,False,True
30,31,21,0,1,3.6,0,6.7,7,1,5,False,False,True
31,32,20,1,1,4.8,1,5.7,6,3,7,True,False,False
32,33,18,0,0,5.4,1,5.4,5,4,8,False,False,True
33,34,23,1,2,2.6,0,7.2,8,1,4,False,True,False
34,35,19,0,1,4.7,1,5.8,6,3,7,False,False,True
